b_1,b_2
0,0
18.8642748752371,3
19.7477216708019,2
20.084872524661,2
20.715125431597,2
21.0641334010492,2
21.3318890685936,2
21.5903922909207,2
21.7807103722854,2
21.9877733205512,2
22.1433589493511,3
22.3258621412298,3
22.466578955709,3
22.6235336111446,2
22.744612264786,2
22.8596777181734,2
23.0992270015784,2
23.2748306367415,2
23.3981860492237,3
23.573111227776,3
23.6880883204328,2
23.8039495508969,2
23.8735801931683,3
23.974249800962,3
24.0937068920267,3
24.2284746444895,2
24.3261877870859,3
24.44411489118,2
24.5338130016441,2
24.6416058350674,3
24.7311162305463,3
24.8253117638338,2
24.8977225094494,2
24.9701065033889,2
25.0512920517419,2
25.1014439963678,3
25.17524110011,2
25.2357568814126,2
25.3125275056588,2
25.4021668704267,2
25.4767452857498,3
25.5267433091794,2
25.6004203315202,2
25.651871076259,4
25.7051291927712,3
25.7647649677609,3
25.8134146070323,4
25.8826151256341,2
25.9545309375065,2
26.0142201720502,2
26.0632489319586,3
26.103043889718,5
26.1431320662491,3
26.1874154337455,2
26.2206527124664,2
26.2664513018677,6
26.3103496214297,2
26.3785369354709,2
26.4272237291425,3
26.4681709556257,2
26.4996126327094,3
26.5313189197417,3
26.5537418031555,3
26.5858950553355,2
26.6149794662227,4
26.6448109041356,2
26.6881929903966,2
26.7394553970782,3
26.7761459016811,3
26.8274487229688,2
26.8560050464951,4
26.8886700827824,3
26.9161423518077,3
26.9532510932199,3
26.9905435983151,2
27.0221511779991,2
27.050266507779,4
27.0861362946472,2
27.1227760224326,2
27.1529850031493,3
27.1854024841623,3
27.2166884001586,2
27.2364081232019,2
27.2682267657225,2
27.2834985072973,2
27.3063118883103,3
27.3372911480995,2
27.3653178153304,3
27.4021007363445,2
27.4353927262298,2
27.4597294104569,2
27.4791761498609,2
27.4995574979029,2
27.5239165089693,2
27.5483136761865,2
27.5731741702989,4
27.6107850249435,2
27.6358411517001,3
27.6650505985143,3
27.6900643499886,3
27.7146628479246,2
27.7374336888037,2
27.7604857524958,3
27.7810382514643,3
27.8111435830148,3
27.8339586170733,3
27.8544453818871,3
27.8728162405027,3
27.8980541674336,3
27.919869329866,2
27.9387771590887,3
27.967412585049,2
27.989491560276,2
28.0101544447669,3
28.034903418814,3
28.0592005318732,2
28.0769048566018,2
28.0984762723532,2
28.1131114561807,3
28.1342244130555,3
28.1507799688676,2
28.1692234384733,2
28.1864600212438,3
28.2046218849908,2
28.2212773712816,4
28.2406041269859,3
28.2635714006916,3
28.283478933351,2
28.301767906783,3
28.328782892162,2
28.3469672520398,3
28.3683950207239,3
28.3917331995294,3
28.4135764063598,2
28.4427848034615,3
28.4696928222199,2
28.4849696925481,3
28.5076629050451,3
28.5310036700591,2
28.5493602607368,3
28.5666468219864,2
28.5868288963153,4
28.6027960678556,3
28.6192223589654,3
28.6337115661456,4
28.6490066094888,3
28.6692767499539,3
28.6897546970386,2
28.7088073348171,3
28.7210118386403,3
28.7362496245067,3
28.7522562511175,2
28.7693972320908,2
28.7858555942167,2
28.8066808788293,3
28.8243956698373,3
28.8440961766362,2
28.8630579147467,4
28.8763588133413,2
28.8921539945828,3
28.9077994327696,4
28.9258685169893,3
28.9391809999007,3
28.9525289848909,5
28.9688816688339,4
28.9858925239947,3
28.9973493075377,4
29.0084527330749,2
29.016196383993,3
29.0366266871575,3
29.0480173408478,2
29.0655768426545,4
29.0830662197169,3
29.0950581174962,3
29.1143575683939,4
29.1352362592831,4
29.1488569711686,3
29.1628965229686,3
29.1812665612815,3
29.201842166744,3
29.216441248533,4
29.2304342231635,4
29.247330076659,3
29.2626363307628,3
29.2796092073772,3
29.2910042762953,5
29.3034205712437,3
29.3208681232936,3
29.3313007207614,3
29.3462815420816,3
29.3645481303968,2
29.3772906689069,3
29.3944635274253,3
29.4084048099064,3
29.4269295989455,3
29.4399323233453,3
29.4530358631837,3
29.4698484660422,4
29.4840665415646,3
29.4965143689077,3
29.5122529101006,3
29.5341018451409,3
29.5507636755905,3
29.5672959206676,3
29.5844544315277,3
29.5995760026172,3
29.6125963512096,3
29.6257205693769,3
29.6375576450321,3
29.6516418545483,3
29.6637024930736,4
29.6784865346215,3
29.6962570247454,3
29.7146705638218,4
29.7306740026932,3
29.742519421831,3
29.7588007045384,3
29.7733959314004,3
29.7868499740656,2
29.8008327881158,3
29.8127600008182,3
29.8221941899647,4
29.8355765016053,4
29.8449541370729,3
29.8521649337156,3
29.8639796863729,3
29.8764543697443,3
29.8890642157283,3
29.9031201682233,3
29.9120850719363,3
29.9271634780767,3
29.9388127574381,3
29.9544506561612,4
29.9724157839239,3
29.9868138873833,3
29.9981918918503,4
30.0084654435082,3
30.0216615213869,4
30.036264700585,3
30.0501382842692,3
30.0627567638833,3
30.0717857422962,3
30.0827430800733,3
30.1013010182742,4
30.1123279870462,3
30.1228720718442,3
30.1332977179097,2
30.1464816437466,3
30.159096146838,3
30.1750467046719,3
30.1875187043783,4
30.2016659477581,4
30.2142146233666,3
30.2247740042488,3
30.2383218827489,3
30.2524721471997,3
30.2631064583163,3
30.2758717503637,4
30.2879811832367,3
30.2998292011111,3
30.3115822337884,3
30.3261159401751,2
30.338101391638,4
30.3472401537796,3
30.3562779557781,3
30.3693768827421,3
30.3765324978098,4
30.3886301109377,3
30.4039411238935,3
30.4151029202619,3
30.4222578328456,3
30.4328151624123,3
30.4417813806343,3
30.4496309694731,3
30.4610432733461,3
30.4735822654016,3
30.48433196254,3
30.4964028724352,3
30.5083014077396,4
30.521190198068,3
30.5324488325691,3
30.5424421657707,3
30.5532120042738,3
30.5647041861938,3
30.5753204220201,4
30.5839901198539,4
30.5953984183344,3
30.6045984542359,4
30.6156517767013,3
30.628761843961,3
30.6409595395612,3
30.6502057957092,4
30.6605779786018,3
30.6718536335026,3
30.682723062162,4
30.6911467512856,4
30.6992574745132,4
30.7080627944356,3
30.7178653654952,3
