x,y
640,-75
641,-74
642,-75
643,-73
644,-72
645,-72
646,-74
647,-71
648,-71
649,-74
650,-72
651,-73
652,-73
653,-72
654,-73
655,-73
656,-70
657,-72
658,-75
659,-71
660,-72
661,-72
662,-73
663,-73
664,-72
665,-73
666,-74
667,-74
668,-72
669,-75
670,-74
671,-74
672,-73
673,-72
674,-72
675,-74
676,-74
677,-74
678,-74
679,-73
680,-72
681,-73
682,-71
683,-72
684,-72
685,-74
686,-73
687,-73
688,-73
689,-72
690,-73
691,-72
692,-72
693,-73
694,-74
695,-73
696,-74
697,-73
698,-73
699,-74
700,-72
701,-74
702,-75
703,-75
704,-72
705,-72
706,-72
707,-74
708,-73
709,-73
710,-74
711,-73
712,-74
713,-76
714,-73
715,-74
716,-73
717,-72
718,-73
719,-74
720,-73
721,-74
722,-75
723,-76
724,-74
725,-73
726,-73
727,-72
728,-74
729,-75
730,-74
731,-74
732,-72
733,-72
734,-74
735,-73
736,-76
737,-75
738,-74
739,-72
740,-72
741,-74
742,-73
743,-74
744,-73
745,-75
746,-76
747,-75
748,-73
749,-73
750,-74
751,-76
752,-74
753,-72
754,-73
755,-75
756,-75
757,-75
758,-73
759,-73
760,-73
761,-74
762,-75
763,-72
764,-76
765,-76
766,-74
767,-75
768,-74
769,-72
770,-75
771,-75
772,-76
773,-73
774,-75
775,-76
776,-74
777,-72
778,-76
779,-75
780,-80
781,-74
782,-74
783,-74
784,-74
785,-74
786,-74
787,-74
788,-74
789,-73
790,-73
791,-73
792,-76
793,-75
794,-72
795,-73
796,-72
797,-75
798,-73
799,-75
800,-76
801,-74
802,-73
803,-76
804,-73
805,-76
806,-74
807,-73
808,-74
809,-75
810,-76
811,-75
812,-76
813,-74
814,-75
815,-76
816,-76
817,-72
818,-74
819,-76
820,-74
821,-74
822,-75
823,-74
824,-76
825,-75
826,-75
827,-73
828,-75
829,-74
830,-74
831,-75
832,-74
833,-74
834,-77
835,-75
836,-75
837,-73
838,-76
839,-76
840,-76
841,-75
842,-75
843,-73
844,-75
845,-73
846,-73
847,-73
848,-74
849,-75
850,-75
851,-77
852,-76
853,-74
854,-75
855,-76
856,-76
857,-75
859,-74
860,-76
861,-76
862,-75
863,-75
864,-76
865,-78
866,-75
867,-74
868,-74
869,-74
870,-76
871,-75
872,-75
873,-75
874,-74
875,-73
876,-73
877,-73
878,-76
879,-80
880,-76
881,-76
882,-74
883,-74
884,-74
885,-82
886,-75
887,-76
888,-76
889,-76
890,-75
891,-75
892,-76
893,-75
894,-74
895,-76
896,-74
897,-73
898,-77
899,-77
900,-81
901,-75
902,-77
903,-74
904,-74
905,-77
906,-74
907,-78
908,-76
909,-74
910,-74
911,-75
912,-75
913,-75
914,-76
915,-78
916,-77
917,-75
918,-77
919,-75
920,-76
921,-74
922,-77
923,-76
924,-77
925,-77
926,-78
927,-75
928,-74
929,-75
930,-77
931,-73
932,-73
933,-76
934,-75
935,-75
936,-84
937,-80
938,-76
939,-74
940,-77
941,-78
942,-75
943,-83
944,-77
945,-74
946,-74
947,-78
948,-79
949,-78
950,-75
951,-75
952,-77
953,-78
954,-74
955,-76
956,-75
957,-77
958,-76
959,-77
960,-77
