x,y
0,-81
0.180683374404907,-81
0.308640003204346,-81
0.511942386627197,-81
0.61715292930603,-81
0.804171800613403,-81
0.959937572479248,-81
1.11587595939636,-81
1.23308420181274,-81
1.43262338638306,-81
1.53855872154236,-81
1.73344039916992,-81
1.85203504562378,-81
2.00420117378235,-81
2.15544033050537,-81
2.30897641181946,-81
2.46227955818176,-81
2.61537981033325,-81
2.70628142356873,-95
2.82052755355835,-95
2.97670388221741,-95
3.12705326080322,-95
3.30548024177551,-95
3.44109678268433,-95
3.592604637146,-95
3.74964475631714,-95
3.85174489021301,-92
4.0043032169342,-92
4.1649477481842,-92
4.31118631362915,-92
4.46706938743591,-92
4.62015771865845,-92
4.7755274772644,-92
4.98558449745178,-92
5.04588747024536,-87
5.18749284744263,-87
5.33972525596619,-87
5.51784634590149,-87
5.67001795768738,-87
5.80257725715637,-87
5.95512104034424,-87
6.12844657897949,-87
6.25266575813293,-86
6.36799454689026,-86
6.51927947998047,-86
6.67787647247314,-86
6.82726550102234,-86
6.98315978050232,-86
7.13733863830566,-86
7.29212355613708,-86
7.44650602340698,-86
7.55133485794067,-87
7.70682954788208,-87
7.8576774597168,-87
8.01407837867737,-87
8.16732215881348,-87
8.32139039039612,-87
8.474285364151,-87
8.63330411911011,-87
8.73112320899963,-87
8.88413333892822,-87
9.03810787200928,-87
9.19034600257874,-87
9.34715008735657,-87
9.49931693077087,-87
9.65262699127197,-87
9.80722332000732,-87
9.91021013259888,-88
10.0887241363525,-88
10.2161803245544,-88
10.3688607215881,-88
10.5253794193268,-88
10.6776008605957,-88
10.8830332756042,-88
11.0372583866119,-88
11.1931512355804,-88
11.2951328754425,-87
11.4482018947601,-87
11.6040854454041,-87
11.7569627761841,-87
11.91068816185,-87
12.0662145614624,-87
12.2200543880463,-87
12.3773500919342,-87
12.4759976863861,-86
12.6300497055054,-86
12.786568403244,-86
12.9414505958557,-86
13.0930206775665,-86
13.2470383644104,-86
13.403516292572,-86
13.5558042526245,-86
13.6597979068756,-86
13.8142216205597,-86
13.9654366970062,-86
14.1186656951904,-86
14.3030071258545,-86
14.4314813613892,-86
14.5845999717712,-86
14.7367010116577,-86
14.8677325248718,-87
14.9992859363556,-87
15.1471695899963,-87
15.3015134334564,-87
15.4560067653656,-87
15.6138768196106,-87
15.8062150478363,-87
15.9711635112762,-87
16.1260123252869,-87
16.2795679569244,-87
16.4354472160339,-87
16.5897784233093,-87
16.7669568061829,-87
16.8991162776947,-87
17.0500745773315,-87
17.2072579860687,-87
17.361798286438,-87
17.5174241065979,-87
17.6682929992676,-87
17.8214292526245,-87
17.9861509799957,-87
18.1315629482269,-87
18.283833026886,-87
18.4903151988983,-87
18.6432287693024,-87
18.7958509922028,-87
18.9513518810272,-87
19.1071517467499,-87
19.2590956687927,-87
19.4152455329895,-87
19.5672318935394,-87
19.723203420639,-87
19.9045045375824,-87
20.0296773910522,-87
20.1841244697571,-87
20.3388946056366,-87
20.4924728870392,-87
20.6498301029205,-87
20.8005321025848,-87
20.8894584178925,-81
20.9524841308594,-88
21.055614233017,-88
21.2124047279358,-88
21.3672747612,-88
21.5203399658203,-88
21.67729139328,-88
21.8292064666748,-88
21.9828479290009,-88
22.1147592067719,-82
22.2822248935699,-82
22.3958308696747,-82
22.5501239299774,-82
22.7037968635559,-82
22.8605425357819,-82
23.0133712291718,-82
23.1697773933411,-82
23.321389913559,-82
23.4762606620789,-82
23.629045009613,-89
23.785263299942,-89
23.9372265338898,-89
24.0919010639191,-89
24.2482082843781,-89
24.3992850780487,-89
24.5618398189545,-89
24.68820977211,-87
24.8173205852509,-87
24.9831945896149,-87
25.1217832565308,-87
25.2792084217072,-87
25.4278292655945,-87
25.5844676494598,-87
25.7403478622437,-87
25.8950183391571,-87
26.0498044490814,-87
26.2538454532623,-87
26.4070560932159,-87
26.5110621452332,-87
26.6635851860046,-87
26.8160412311554,-87
26.9962222576141,-87
27.1273155212402,-87
27.2826321125031,-87
27.4332265853882,-87
27.5900316238403,-87
27.7438108921051,-87
27.9014961719513,-87
28.0527014732361,-87
28.2066526412964,-87
28.3276398181915,-86
28.4287283420563,-86
28.6079232692719,-86
28.8266530036926,-86
28.9794507026672,-86
29.1332337856293,-86
29.2890992164612,-86
29.4450697898865,-86
29.543598651886,-82
29.6991193294525,-82
29.8775820732117,-82
30.0079340934753,-82
30.161150932312,-82
30.3163504600525,-82
30.4771897792816,-82
30.6219482421875,-82
30.7695167064667,-83
30.8833765983582,-83
31.0352630615234,-83
31.1913130283356,-83
31.3965735435486,-83
31.5507144927979,-83
31.706711769104,-83
31.9744470119476,-83
32.0139214992523,-83
32.1203734874725,-88
32.3183658123016,-88
32.4261577129364,-88
32.6321828365326,-88
32.7337653636932,-88
32.9836628437042,-88
33.040230512619,-88
33.2873005867004,-88
33.3503715991974,-88
33.6148166656494,-88
33.6935942173004,-88
34.0651547908783,-88
34.067409992218,-88
34.1717581748962,-88
34.393580198288,-86
34.4374477863312,-86
34.5313768386841,-87
34.7257390022278,-87
34.8367619514465,-87
35.1769173145294,-87
35.17702293396,-87
35.2979562282562,-87
35.499614238739,-87
35.6102850437164,-87
35.8223757743835,-83
35.8654828071594,-83
36.2720236778259,-83
36.2744145393372,-83
36.3249926567078,-83
36.5955321788788,-83
36.688218832016,-83
37.0408611297607,-86
37.0430037975311,-86
37.0971455574036,-86
37.5066175460815,-86
37.5279483795166,-86
37.5726211071014,-86
37.813633441925,-86
37.8756256103516,-86
38.1418476104736,-86
38.1744129657745,-86
38.3361015319824,-86
38.5875301361084,-86
38.6382069587708,-86
38.7577393054962,-83
38.913890838623,-83
39.1021888256073,-83
39.2562232017517,-83
39.3613831996918,-86
39.513730764389,-86
39.7055206298828,-86
39.8238334655762,-86
39.9766209125519,-86
40.1313667297363,-86
40.2924828529358,-86
40.4556617736816,-86
40.5498530864716,-86
40.6974895000458,-86
40.8496072292328,-86
41.0081868171692,-86
41.1581642627716,-86
41.3175640106201,-86
41.4757652282715,-86
41.6706466674805,-86
41.8293085098267,-86
41.980993270874,-86
42.1402168273926,-86
42.2921617031097,-86
42.4476406574249,-86
42.6195333003998,-86
42.7632918357849,-86
42.9111104011536,-88
43.0127458572388,-88
43.1123106479645,-86
43.2672808170319,-86
43.4188549518585,-86
43.5843145847321,-86
43.7285945415497,-86
43.8794507980347,-86
44.0376467704773,-86
44.1913216114044,-86
44.3259453773499,-87
44.4469368457794,-87
44.6013000011444,-87
44.7556371688843,-87
44.9084825515747,-87
45.063280582428,-87
45.2198820114136,-87
45.3716142177582,-87
45.5182814598083,-86
45.6294207572937,-86
45.7836062908173,-86
45.9741644859314,-86
46.0890898704529,-86
46.2423260211945,-86
46.4275050163269,-86
46.5538077354431,-86
46.7205166816711,-87
46.8659207820892,-87
47.0162162780762,-87
47.1724188327789,-87
47.3246552944183,-87
47.4799869060516,-87
47.6374397277832,-87
47.7891278266907,-87
47.9221396446228,-88
48.0444209575653,-88
48.199000120163,-88
48.3983948230743,-88
48.5094380378723,-88
48.6660957336426,-88
48.8172895908356,-88
48.9723269939423,-88
49.1227786540985,-82
49.2293479442596,-82
49.385758638382,-82
49.5367052555084,-82
49.6924149990082,-82
49.8459885120392,-82
50.0375320911407,-82
50.1541438102722,-82
50.307843208313,-82
50.410519361496,-86
50.5640506744385,-86
50.719390630722,-86
50.8735249042511,-86
51.0267648696899,-86
